near_term,long_term,end_hora,use_body,body_pct,sl_atr_mult,tp_rr,trades,wr,pf,pnl,max_dd,max_dd_pct,growth_pct,calmar,score
5,50,10:00,True,60,2.0,2.5,512,31.64,1.174,24347.07,12188.58,24.3772,48.69,1.9975,0.603183
3,50,10:00,True,70,2.0,2.5,387,32.3,1.2016,20727.16,9152.17,18.3043,41.45,2.2647,0.602802
5,20,11:30,True,60,2.0,2.5,1134,29.01,1.1043,31426.88,17392.76,34.7855,62.85,1.8069,0.595878
3,20,10:00,True,70,2.0,2.5,471,31.85,1.1758,22398.9,12154.2,24.3084,44.8,1.8429,0.594759
3,20,11:00,False,0,2.0,2.5,1244,29.42,1.0928,32248.6,19399.15,38.7983,64.5,1.6624,0.5932
2,35,10:00,False,0,2.0,2.0,775,35.61,1.1159,23402.54,11220.94,22.4419,46.81,2.0856,0.591976
2,50,10:30,True,60,2.0,2.5,655,30.99,1.1396,26440.66,16566.13,33.1323,52.88,1.5961,0.590895
5,20,10:00,True,60,1.5,2.5,649,30.82,1.1615,22961.86,11715.21,23.4304,45.92,1.96,0.590355
3,35,10:00,True,70,2.0,2.5,415,31.81,1.1745,19530.73,9178.13,18.3563,39.06,2.128,0.585807
3,35,10:30,False,0,2.0,2.5,1038,29.77,1.0984,29485.73,17761.31,35.5226,58.97,1.6601,0.585659
5,35,10:30,True,70,2.0,2.5,695,31.51,1.1398,27630.95,23340.09,46.6802,55.26,1.1838,0.584944
2,50,10:00,False,0,2.0,2.0,726,35.67,1.1165,22018.29,11936.23,23.8725,44.04,1.8447,0.584012
5,75,10:30,False,0,2.0,2.5,957,29.57,1.1046,28682.09,17914.05,35.8281,57.36,1.6011,0.582913
2,20,10:00,True,70,2.0,2.5,429,31.93,1.1698,19875.14,11479.71,22.9594,39.75,1.7313,0.581642
5,20,10:00,False,0,2.0,2.0,994,34.91,1.0896,23190.46,11399.83,22.7997,46.38,2.0343,0.579242
5,20,10:30,True,60,1.5,1.5,1070,41.03,1.0962,19336.18,12853.31,25.7066,38.67,1.5044,0.57772
3,20,10:00,True,60,1.5,2.5,606,30.36,1.1543,20665.92,11491.69,22.9834,41.33,1.7983,0.575443
3,20,10:00,False,0,1.5,2.5,986,30.43,1.108,24322.88,12648.55,25.2971,48.65,1.923,0.575409
5,50,11:00,True,60,2.0,2.5,844,29.98,1.1203,28115.18,23612.08,47.2242,56.23,1.1907,0.575374
3,20,11:00,True,70,2.0,2.5,810,30.37,1.1196,27090.66,21632.83,43.2657,54.18,1.2523,0.575171
5,20,10:00,True,70,2.0,2.5,500,31.8,1.1496,20318.48,13290.45,26.5809,40.64,1.5288,0.572777
5,35,10:30,True,60,1.5,2.5,891,30.42,1.1146,23007.37,12427.09,24.8542,46.01,1.8514,0.571547
3,20,10:30,True,60,1.5,2.5,932,30.04,1.1081,23279.85,12230.81,24.4616,46.56,1.9034,0.569885
3,20,10:00,False,0,2.0,1.5,988,41.5,1.0766,17658.5,10093.75,20.1875,35.32,1.7494,0.569406
3,35,11:00,True,60,2.0,2.5,842,29.69,1.1086,25691.59,18490.49,36.981,51.38,1.3894,0.568554
5,50,10:00,True,70,2.0,2.5,413,31.96,1.1638,18087.48,12797.12,25.5942,36.17,1.4134,0.568055
2,20,10:00,False,0,1.5,2.0,944,35.38,1.0961,19280.67,11098.64,22.1973,38.56,1.7372,0.563985
2,20,10:00,True,60,1.5,2.5,552,30.62,1.1454,17956.36,9733.44,19.4669,35.91,1.8448,0.563056
2,50,10:00,True,70,2.0,2.5,348,31.61,1.162,15311.31,7536.38,15.0728,30.62,2.0317,0.563007
5,35,10:00,True,70,2.0,2.5,442,31.67,1.1493,17841.52,11802.94,23.6059,35.68,1.5116,0.562866
5,20,10:30,True,60,1.0,2.5,1060,29.91,1.1078,21532.71,11123.38,22.2468,43.07,1.9358,0.562859
2,50,10:00,True,60,2.0,2.5,431,30.63,1.1423,17168.52,8828.9,17.6578,34.34,1.9446,0.559875
2,35,10:00,True,60,2.0,2.5,462,30.52,1.138,17864.87,9748.06,19.4961,35.73,1.8327,0.559687
2,35,10:30,True,60,2.0,2.5,699,30.47,1.111,22650.4,16982.79,33.9656,45.3,1.3337,0.559561
3,20,10:30,True,60,2.0,2.0,888,35.02,1.0891,21436.9,16961.38,33.9228,42.87,1.2639,0.559507
5,50,10:00,False,0,2.0,2.0,838,35.08,1.0882,19327.54,12310.27,24.6205,38.66,1.57,0.55815
3,75,10:30,False,0,2.0,2.5,902,29.49,1.0932,24221.1,17126.17,34.2523,48.44,1.4143,0.557952
3,20,10:00,True,70,1.5,2.5,490,30.2,1.1562,16575.53,10360.14,20.7203,33.15,1.5999,0.557444
3,50,11:00,True,60,2.0,2.5,791,29.71,1.1092,24131.03,20657.91,41.3158,48.26,1.1681,0.556682
5,75,10:00,False,0,2.0,2.0,756,35.05,1.0988,19404.57,15314.28,30.6286,38.81,1.2671,0.556145
5,35,10:30,True,60,2.0,2.0,843,35.11,1.0894,20234.73,17725.09,35.4502,40.47,1.1416,0.552336
5,20,10:30,True,60,1.5,2.0,1037,34.33,1.0828,18188.34,10837.7,21.6754,36.38,1.6782,0.551252
5,50,10:30,True,60,1.5,2.5,836,30.14,1.1115,20767.94,16140.07,32.2801,41.54,1.2867,0.551032
3,20,10:00,True,60,2.0,2.0,598,34.95,1.1056,16499.04,11988.45,23.9769,33.0,1.3762,0.55034
5,50,10:30,True,70,2.0,2.5,653,31.24,1.1238,22938.87,25750.56,51.5011,45.88,0.8908,0.550231
3,75,10:30,True,60,2.0,2.5,645,30.39,1.1163,21675.86,20640.33,41.2807,43.35,1.0502,0.548969
2,35,10:00,True,70,2.0,2.5,374,31.28,1.1413,14507.42,9005.16,18.0103,29.01,1.611,0.547842
3,50,10:30,True,70,2.0,2.5,613,31.16,1.1203,21095.76,22669.94,45.3399,42.19,0.9306,0.545713
5,20,10:00,False,0,1.5,2.5,1042,30.23,1.0869,20775.96,14696.46,29.3929,41.55,1.4137,0.545587
2,35,10:00,False,0,2.0,1.5,813,41.45,1.0679,12977.76,8987.18,17.9744,25.96,1.444,0.545019
3,35,10:30,True,70,2.0,2.5,652,30.98,1.1143,21501.55,23150.34,46.3007,43.0,0.9288,0.544144
5,35,10:00,False,0,2.0,2.0,893,34.83,1.0764,17907.73,13568.27,27.1365,35.82,1.3198,0.543607
5,20,10:00,True,60,1.5,1.5,680,41.32,1.1007,12610.88,15645.16,31.2903,25.22,0.8061,0.540997
5,20,10:30,True,70,1.5,2.5,849,30.15,1.1011,19403.71,16303.98,32.608,38.81,1.1901,0.540244
5,20,10:30,False,0,1.5,2.5,1380,29.78,1.0674,21854.51,16617.15,33.2343,43.71,1.3152,0.53899
2,75,10:00,False,0,2.0,1.5,675,41.19,1.0736,11649.77,9615.96,19.2319,23.3,1.2115,0.538337
3,75,10:00,False,0,2.0,2.0,712,34.69,1.0867,16175.33,14463.53,28.9271,32.35,1.1184,0.53638
5,20,11:00,True,60,1.5,2.5,1110,29.28,1.0775,19268.14,13176.34,26.3527,38.54,1.4623,0.534966
2,20,11:00,True,60,2.0,2.5,871,29.28,1.0834,20514.11,17405.97,34.8119,41.03,1.1786,0.534779
3,50,10:00,False,0,2.0,2.0,793,34.68,1.0774,16150.61,13723.48,27.447,32.3,1.1769,0.534439
2,20,10:30,True,60,1.5,2.5,859,30.03,1.0918,18347.87,14955.14,29.9103,36.7,1.2269,0.534054
5,20,10:00,True,60,2.0,2.0,638,34.95,1.0936,15576.6,15805.05,31.6101,31.15,0.9855,0.533889
3,20,11:30,True,60,2.0,2.5,1072,28.26,1.0728,20943.88,16794.49,33.589,41.89,1.2471,0.531391
5,35,10:30,True,70,1.5,2.5,750,29.73,1.1014,17093.16,16094.34,32.1887,34.19,1.0621,0.527959
5,20,10:00,True,70,1.5,2.5,521,29.94,1.1234,13925.76,12349.92,24.6998,27.85,1.1276,0.52795
2,20,10:00,False,0,1.5,1.5,967,41.16,1.0597,10799.31,11716.05,23.4321,21.6,0.9218,0.524948
2,50,11:00,False,0,2.0,2.5,1007,29.1,1.0712,20205.43,19661.79,39.3236,40.41,1.0276,0.523913
3,35,10:00,False,0,2.0,2.0,844,34.48,1.0678,15118.16,15139.92,30.2798,30.24,0.9986,0.522486
5,35,10:30,True,60,1.5,1.5,946,40.49,1.0655,11714.9,15528.87,31.0577,23.43,0.7544,0.521916
5,35,11:00,True,70,2.0,2.5,770,30.0,1.0928,19991.77,25376.39,50.7528,39.98,0.7878,0.5217
2,20,10:00,True,60,2.0,2.0,545,34.86,1.0852,12263.89,12563.34,25.1267,24.53,0.9762,0.520615
3,35,10:00,True,60,2.0,2.0,531,34.65,1.0879,12203.14,13141.21,26.2824,24.41,0.9286,0.51945
2,75,10:00,False,0,1.5,2.5,668,30.24,1.0913,13509.05,10386.93,20.7739,27.02,1.3006,0.519432
3,20,10:30,True,60,1.0,2.5,991,29.26,1.0823,15440.08,12413.98,24.828,30.88,1.2438,0.518977
3,20,10:30,False,0,1.5,2.5,1310,29.47,1.0577,17596.56,14081.93,28.1639,35.19,1.2496,0.518406
5,35,10:30,True,60,1.5,2.0,925,33.84,1.0654,12760.88,11896.38,23.7928,25.52,1.0727,0.514425
5,20,10:30,True,70,2.0,2.0,812,35.22,1.0738,16126.41,24049.47,48.0989,32.25,0.6706,0.514023
5,75,11:00,True,60,2.0,2.5,766,28.98,1.0849,18302.23,22183.42,44.3668,36.6,0.825,0.513808
2,50,10:00,False,0,2.0,1.5,755,40.93,1.0487,8706.66,10226.16,20.4523,17.41,0.8514,0.512905
3,50,10:00,True,70,1.5,2.5,399,29.57,1.1243,10646.06,11618.48,23.237,21.29,0.9163,0.512229
5,20,10:30,True,70,1.5,1.5,899,40.38,1.0617,10480.7,17165.1,34.3302,20.96,0.6106,0.510805
3,20,10:30,True,60,1.5,1.5,1001,39.86,1.0527,10090.67,14455.42,28.9108,20.18,0.6981,0.509553
5,20,10:00,False,0,2.0,1.5,1040,40.87,1.0369,9065.96,10818.71,21.6374,18.13,0.838,0.509209
2,35,10:00,False,0,1.5,2.5,806,30.4,1.0736,13273.0,12082.28,24.1646,26.55,1.0986,0.509137
2,20,10:30,True,70,2.0,2.5,670,30.75,1.0853,16694.81,23581.89,47.1638,33.39,0.708,0.508416
3,50,10:00,True,60,2.0,2.0,493,34.69,1.0829,10651.81,14015.2,28.0304,21.3,0.76,0.508286
3,35,10:30,True,60,1.5,2.5,839,29.32,1.0745,14242.05,13485.65,26.9713,28.48,1.0561,0.508262
5,50,10:30,True,60,1.5,1.5,884,40.38,1.0625,10368.8,18481.98,36.964,20.74,0.561,0.507924
3,35,10:30,True,60,2.0,2.0,793,34.3,1.0601,13028.29,15942.83,31.8857,26.06,0.8172,0.507198
2,20,10:30,False,0,2.0,1.5,1214,40.53,1.0369,10900.38,16308.45,32.6169,21.8,0.6684,0.506397
5,20,10:30,False,0,2.0,2.0,1289,34.06,1.0474,16390.11,22394.65,44.7893,32.78,0.7319,0.505909
2,50,10:00,False,0,1.5,2.5,753,30.15,1.0735,12292.01,10883.17,21.7663,24.58,1.1295,0.505873
5,50,10:30,True,70,1.5,1.5,731,40.36,1.0684,9362.21,18133.03,36.2661,18.72,0.5163,0.505563
3,75,10:00,True,60,2.0,2.5,424,29.72,1.0923,10997.87,10479.44,20.9589,22.0,1.0495,0.505495
5,35,10:00,True,70,1.5,1.5,474,40.93,1.0824,7111.61,16175.58,32.3512,14.22,0.4397,0.504845
5,35,10:00,True,60,1.5,1.5,601,40.93,1.0751,8327.68,18323.89,36.6478,16.66,0.4545,0.504082
5,35,10:30,True,70,1.5,2.0,774,33.72,1.0716,11679.26,15633.47,31.2669,23.36,0.7471,0.503336
5,75,10:00,True,60,2.0,2.5,454,29.74,1.0876,11146.81,11528.76,23.0575,22.29,0.9669,0.502548
2,20,10:00,False,0,1.0,2.5,949,29.82,1.0661,11906.94,9906.19,19.8124,23.81,1.202,0.502324
5,50,10:00,True,70,1.5,1.5,439,41.0,1.0818,6459.55,16141.81,32.2836,12.92,0.4002,0.501636
2,20,10:00,True,70,1.5,2.5,444,29.73,1.1008,9929.73,11733.99,23.468,19.86,0.8462,0.500646
2,20,11:30,False,0,2.0,2.5,1335,28.01,1.0542,19440.63,24890.02,49.78,38.88,0.7811,0.500436
5,50,10:30,True,70,1.5,2.5,700,29.43,1.0886,13838.88,19074.95,38.1499,27.68,0.7255,0.500343
3,35,10:00,True,70,1.5,2.5,430,29.3,1.1083,10152.42,13130.9,26.2618,20.3,0.7732,0.500296
5,20,10:30,True,70,1.0,2.5,894,29.42,1.0769,12929.04,14939.35,29.8787,25.86,0.8654,0.499944
5,35,10:30,True,70,1.5,1.5,786,40.2,1.0581,8641.09,17197.0,34.394,17.28,0.5025,0.499751
5,50,10:30,True,60,2.0,2.0,795,34.59,1.0648,13924.51,23351.44,46.7029,27.85,0.5963,0.49938
3,20,10:30,False,0,2.0,2.0,1227,33.74,1.045,14851.99,21083.87,42.1677,29.7,0.7044,0.499051
5,50,11:00,True,70,2.0,2.5,723,29.74,1.0836,16797.52,27572.04,55.1441,33.6,0.6092,0.497309
5,20,10:00,True,60,1.5,2.0,673,34.03,1.0672,9404.49,12685.72,25.3714,18.81,0.7413,0.497252
3,20,10:30,True,70,1.5,2.5,798,29.45,1.0745,13576.23,17681.68,35.3634,27.15,0.7678,0.496923
5,20,10:30,True,60,2.0,1.5,996,40.36,1.0406,9885.0,19556.47,39.1129,19.77,0.5055,0.495609
5,20,10:30,True,70,1.5,2.0,877,33.87,1.0614,11367.42,17242.3,34.4846,22.73,0.6593,0.49543
5,50,10:00,True,60,1.5,1.5,557,40.93,1.0688,7014.41,19472.96,38.9459,14.03,0.3602,0.492996
3,20,10:30,True,60,1.5,2.0,975,33.23,1.0486,10121.89,12327.18,24.6544,20.24,0.8211,0.492651
2,35,10:30,False,0,2.0,2.0,1030,33.88,1.0445,12491.87,18981.92,37.9638,24.98,0.6581,0.491718
5,35,10:00,True,60,2.0,2.0,566,34.45,1.0672,9971.86,17530.89,35.0618,19.94,0.5688,0.491659
3,50,10:30,True,60,1.5,2.5,785,29.17,1.0693,12311.21,15865.96,31.7319,24.62,0.776,0.491586
5,20,10:00,False,0,1.5,1.5,1113,40.52,1.0361,7450.06,15027.07,30.0541,14.9,0.4958,0.491402
2,50,10:30,False,0,2.0,2.0,970,34.12,1.0488,12865.96,21410.85,42.8217,25.73,0.6009,0.490951
3,20,10:00,True,60,1.5,1.5,637,40.19,1.0545,6538.82,15847.76,31.6955,13.08,0.4126,0.490623
2,20,10:30,True,60,2.0,2.0,822,34.67,1.0523,11820.44,20618.37,41.2367,23.64,0.5733,0.49017
3,35,10:00,False,0,2.0,1.5,885,40.45,1.0287,6058.33,11099.83,22.1997,12.12,0.5458,0.489488
5,50,10:30,True,60,1.5,2.0,866,33.49,1.0563,10197.68,16019.58,32.0392,20.4,0.6366,0.489104
5,20,10:30,True,60,1.0,2.0,1098,33.88,1.0489,9455.0,13536.89,27.0738,18.91,0.6985,0.488972
3,20,10:00,True,60,2.0,1.5,619,40.39,1.0493,7278.36,18094.23,36.1885,14.56,0.4022,0.488618
5,50,10:30,True,70,1.5,2.0,721,33.56,1.0656,9906.38,17304.29,34.6086,19.81,0.5725,0.488575
2,75,10:30,False,0,2.0,2.0,879,34.13,1.0529,12665.22,23254.22,46.5084,25.33,0.5446,0.487739
3,50,10:00,True,70,2.0,2.0,395,34.43,1.0701,7107.52,12889.66,25.7793,14.22,0.5514,0.4876
3,35,10:00,True,70,2.0,2.0,425,34.35,1.0687,7567.49,13704.93,27.4099,15.13,0.5522,0.487534
3,75,10:00,True,70,2.0,2.5,339,30.09,1.0888,8247.15,12518.39,25.0368,16.49,0.6588,0.487528
5,75,10:30,True,70,2.0,2.5,588,30.27,1.0844,14302.89,27371.53,54.7431,28.61,0.5225,0.487132
5,20,10:30,True,70,1.0,2.0,916,34.06,1.0554,8953.57,14986.16,29.9723,17.91,0.5975,0.486369
5,50,10:30,True,70,1.0,2.0,747,34.27,1.0655,8530.72,16008.18,32.0164,17.06,0.5329,0.486366
3,20,10:00,True,70,2.0,2.0,484,34.3,1.0623,7848.63,14615.58,29.2312,15.7,0.537,0.4847
3,20,10:30,True,60,2.0,1.5,937,39.81,1.0318,7349.15,16364.1,32.7282,14.7,0.4491,0.484579
3,50,10:00,True,70,2.0,1.5,405,40.74,1.0595,5575.77,18241.45,36.4829,11.15,0.3057,0.484429
5,35,10:00,True,70,1.5,2.5,460,29.13,1.0889,8888.09,14342.82,28.6856,17.78,0.6197,0.484267
3,50,10:30,True,60,2.0,2.0,745,34.23,1.0494,10079.57,18232.35,36.4647,20.16,0.5528,0.483924
3,35,10:30,True,70,1.5,2.5,703,28.88,1.0697,11151.92,16476.59,32.9532,22.3,0.6768,0.483837
2,75,10:00,False,0,1.5,2.0,688,33.87,1.0454,6491.49,8174.39,16.3488,12.98,0.7941,0.483611
3,20,10:00,False,0,1.5,1.5,1053,40.36,1.0313,6139.81,14828.96,29.6579,12.28,0.414,0.483066
2,20,10:30,False,0,1.5,2.0,1274,33.59,1.0345,9495.36,14405.26,28.8105,18.99,0.6592,0.481516
3,20,10:30,True,70,2.0,2.0,761,34.43,1.0487,10140.93,19958.26,39.9165,20.28,0.5081,0.481119
3,50,11:00,True,70,2.0,2.5,679,29.46,1.0745,14181.74,27121.37,54.2427,28.36,0.5229,0.481108
5,50,10:00,True,70,1.5,2.5,426,29.11,1.088,8058.83,13659.43,27.3189,16.12,0.59,0.481085
5,35,10:30,True,70,2.0,2.0,718,34.54,1.0546,10612.32,22380.31,44.7606,21.22,0.4742,0.481029
2,20,11:00,False,0,1.5,2.5,1367,28.97,1.0404,12590.92,16525.58,33.0512,25.18,0.7619,0.480961
5,20,10:00,True,70,1.5,1.5,539,40.63,1.0508,5051.39,17043.65,34.0873,10.1,0.2964,0.480836
2,20,10:00,True,60,2.0,1.5,566,40.46,1.0436,5931.23,17746.85,35.4937,11.86,0.3342,0.480801
3,75,10:00,False,0,2.0,1.5,742,40.16,1.0334,5897.68,15441.47,30.8829,11.8,0.3819,0.480789
5,75,10:00,False,0,2.0,1.5,787,40.28,1.0336,6262.91,16686.24,33.3725,12.53,0.3753,0.480534
5,20,10:00,True,60,2.0,1.5,660,40.61,1.0435,6843.72,20524.09,41.0482,13.69,0.3334,0.480221
5,35,10:00,False,0,1.5,1.5,989,40.34,1.0325,5957.84,16008.1,32.0162,11.92,0.3722,0.480188
3,35,10:00,True,70,2.0,1.5,438,40.64,1.0504,5187.27,17764.04,35.5281,10.37,0.292,0.47996
3,50,10:00,True,70,1.5,1.5,410,40.24,1.0553,4136.17,15459.96,30.9199,8.27,0.2675,0.479847
5,50,11:00,False,0,2.0,2.5,1126,28.51,1.0433,13813.55,20083.69,40.1674,27.63,0.6878,0.479596
5,50,10:00,False,0,1.5,2.5,877,29.65,1.0511,9924.65,13476.87,26.9537,19.85,0.7364,0.479509
5,20,11:30,True,70,2.0,2.5,986,28.6,1.0614,16209.89,29567.61,59.1352,32.42,0.5482,0.479209
5,20,11:00,True,60,2.0,2.0,1053,33.52,1.0451,12582.07,25348.09,50.6962,25.16,0.4964,0.478571
5,50,10:00,True,60,1.5,2.5,537,29.42,1.0802,9418.95,17521.95,35.0439,18.84,0.5376,0.478404
3,35,11:00,True,70,2.0,2.5,721,29.4,1.0685,13998.83,26956.33,53.9127,28.0,0.5193,0.478272
3,50,10:00,True,60,1.5,2.5,502,29.28,1.0805,8890.85,16294.41,32.5888,17.78,0.5456,0.477899
3,50,10:00,True,70,1.5,2.0,407,33.66,1.0717,5907.85,14030.9,28.0618,11.82,0.4211,0.47755
5,35,10:00,False,0,2.0,1.5,933,40.41,1.0216,4819.34,12828.08,25.6562,9.64,0.3757,0.477226
5,35,10:00,True,60,1.5,2.5,580,29.31,1.075,9597.96,17820.4,35.6408,19.2,0.5386,0.476533
3,20,10:00,False,0,1.5,2.0,1026,33.82,1.0328,7011.97,11430.31,22.8606,14.02,0.6135,0.475133
3,20,10:00,True,70,1.5,2.0,503,33.6,1.0601,6243.13,14578.8,29.1576,12.49,0.4282,0.473886
3,50,10:00,False,0,2.0,1.5,828,40.22,1.0232,4586.3,14105.2,28.2104,9.17,0.3251,0.473485
5,35,10:30,False,0,1.5,2.5,1261,28.95,1.0347,9985.86,12993.09,25.9862,19.97,0.7686,0.472924
2,20,10:30,False,0,1.0,2.5,1312,28.58,1.0359,8968.02,10187.21,20.3744,17.94,0.8803,0.472768
3,50,10:30,True,70,1.5,2.5,657,28.77,1.065,9641.84,17300.06,34.6001,19.28,0.5573,0.472651
5,35,10:00,True,70,2.0,1.5,467,40.69,1.0407,4463.89,18173.1,36.3462,8.93,0.2456,0.472266
5,20,10:00,True,70,1.5,2.0,535,34.02,1.0587,6440.45,16312.27,32.6245,12.88,0.3948,0.472175
3,20,10:30,True,70,1.0,2.0,854,33.72,1.0439,6650.68,14131.93,28.2639,13.3,0.4706,0.471536
5,35,11:30,True,60,2.0,2.5,1012,28.06,1.0503,13772.23,24587.11,49.1742,27.54,0.5601,0.47148
2,50,10:30,True,70,2.0,2.5,561,30.12,1.0651,10727.67,22938.2,45.8764,21.46,0.4677,0.470904
5,35,10:30,True,70,1.0,2.0,806,34.0,1.0484,6869.56,16323.27,32.6465,13.74,0.4208,0.470619
3,20,10:30,True,70,1.0,2.5,836,29.07,1.0554,8744.94,15251.97,30.5039,17.49,0.5734,0.469803
