plan,size,riesgo_frac_dd,R,S,rr,K,G,pass_,dias
growth,25,0.15,150.0,15,1.5,2,1000000000.0,0.04033333333333333,22.702479338842974
growth,25,0.15,150.0,15,1.5,3,1000000000.0,0.043,15.085271317829458
growth,25,0.15,150.0,15,1.5,5,1000000000.0,0.037333333333333336,10.151785714285714
growth,25,0.15,150.0,15,2.0,1,1000000000.0,0.09466666666666666,30.97887323943662
growth,25,0.15,150.0,15,2.0,2,1000000000.0,0.10933333333333334,19.51829268292683
growth,25,0.15,150.0,15,2.0,3,1000000000.0,0.09866666666666667,12.631756756756756
growth,25,0.15,150.0,15,2.0,5,1000000000.0,0.08066666666666666,8.669421487603305
growth,25,0.15,150.0,15,3.0,1,1000000000.0,0.18833333333333332,23.054867256637166
growth,25,0.15,150.0,15,3.0,2,1000000000.0,0.18966666666666668,12.848857644991213
growth,25,0.15,150.0,15,3.0,3,1000000000.0,0.17566666666666667,9.637571157495255
growth,25,0.15,150.0,15,3.0,5,1000000000.0,0.16533333333333333,6.078629032258065
growth,25,0.15,150.0,15,4.0,1,1000000000.0,0.24633333333333332,17.121786197564276
growth,25,0.15,150.0,15,4.0,2,1000000000.0,0.225,9.785185185185185
growth,25,0.15,150.0,15,4.0,3,1000000000.0,0.21233333333333335,7.227629513343799
growth,25,0.15,150.0,15,4.0,5,1000000000.0,0.20166666666666666,4.838016528925619
growth,25,0.15,150.0,20,0.5,1,1000000000.0,0.0,
growth,25,0.15,150.0,20,0.5,2,1000000000.0,0.0,
growth,25,0.15,150.0,20,0.5,3,1000000000.0,0.0003333333333333333,17.0
growth,25,0.15,150.0,20,0.5,5,1000000000.0,0.0,
growth,25,0.15,150.0,20,1.0,1,1000000000.0,0.007,39.904761904761905
growth,25,0.15,150.0,20,1.0,2,1000000000.0,0.017,27.80392156862745
growth,25,0.15,150.0,20,1.0,3,1000000000.0,0.024,21.041666666666668
growth,25,0.15,150.0,20,1.0,5,1000000000.0,0.029666666666666668,13.359550561797754
growth,25,0.15,150.0,20,1.5,1,1000000000.0,0.06766666666666667,35.66502463054187
growth,25,0.15,150.0,20,1.5,2,1000000000.0,0.1,23.743333333333332
growth,25,0.15,150.0,20,1.5,3,1000000000.0,0.09066666666666667,15.797794117647058
growth,25,0.15,150.0,20,1.5,5,1000000000.0,0.10533333333333333,11.55379746835443
growth,25,0.15,150.0,20,2.0,1,1000000000.0,0.11933333333333333,31.71508379888268
growth,25,0.15,150.0,20,2.0,2,1000000000.0,0.13633333333333333,18.533007334963326
growth,25,0.15,150.0,20,2.0,3,1000000000.0,0.14733333333333334,13.53393665158371
growth,25,0.15,150.0,20,2.0,5,1000000000.0,0.149,8.856823266219239
growth,25,0.15,150.0,20,3.0,1,1000000000.0,0.19633333333333333,22.38370118845501
growth,25,0.15,150.0,20,3.0,2,1000000000.0,0.20266666666666666,12.932565789473685
growth,25,0.15,150.0,20,3.0,3,1000000000.0,0.20533333333333334,9.001623376623376
growth,25,0.15,150.0,20,3.0,5,1000000000.0,0.22366666666666668,6.211624441132638
growth,25,0.15,150.0,20,4.0,1,1000000000.0,0.24833333333333332,16.906040268456376
growth,25,0.15,150.0,20,4.0,2,1000000000.0,0.25966666666666666,9.507060333761233
growth,25,0.15,150.0,20,4.0,3,1000000000.0,0.25866666666666666,6.875
growth,25,0.15,150.0,20,4.0,5,1000000000.0,0.2713333333333333,4.954545454545454
growth,25,0.15,150.0,30,0.5,1,1000000000.0,0.0003333333333333333,38.0
growth,25,0.15,150.0,30,0.5,2,1000000000.0,0.0013333333333333333,49.5
growth,25,0.15,150.0,30,0.5,3,1000000000.0,0.0036666666666666666,29.818181818181817
growth,25,0.15,150.0,30,0.5,5,1000000000.0,0.007666666666666666,27.08695652173913
growth,25,0.15,150.0,30,1.0,1,1000000000.0,0.034,40.73529411764706
growth,25,0.15,150.0,30,1.0,2,1000000000.0,0.07866666666666666,30.0
growth,25,0.15,150.0,30,1.0,3,1000000000.0,0.089,23.40449438202247
growth,25,0.15,150.0,30,1.0,5,1000000000.0,0.09866666666666667,15.483108108108109
growth,25,0.15,150.0,30,1.5,1,1000000000.0,0.09,34.97037037037037
growth,25,0.15,150.0,30,1.5,2,1000000000.0,0.123,23.644986449864497
growth,25,0.15,150.0,30,1.5,3,1000000000.0,0.153,17.601307189542485
growth,25,0.15,150.0,30,1.5,5,1000000000.0,0.16866666666666666,11.618577075098814
growth,25,0.15,150.0,30,2.0,1,1000000000.0,0.13833333333333334,30.689156626506023
growth,25,0.15,150.0,30,2.0,2,1000000000.0,0.17566666666666667,18.582542694497153
growth,25,0.15,150.0,30,2.0,3,1000000000.0,0.203,13.482758620689655
growth,25,0.15,150.0,30,2.0,5,1000000000.0,0.20566666666666666,8.789303079416532
growth,25,0.15,150.0,30,3.0,1,1000000000.0,0.19566666666666666,22.589437819420784
growth,25,0.15,150.0,30,3.0,2,1000000000.0,0.22633333333333333,12.751104565537556
growth,25,0.15,150.0,30,3.0,3,1000000000.0,0.242,9.132231404958677
growth,25,0.15,150.0,30,3.0,5,1000000000.0,0.25766666666666665,6.078913324708926
growth,25,0.15,150.0,30,4.0,1,1000000000.0,0.22866666666666666,17.55539358600583
growth,25,0.15,150.0,30,4.0,2,1000000000.0,0.252,9.862433862433862
growth,25,0.15,150.0,30,4.0,3,1000000000.0,0.2613333333333333,7.225765306122449
growth,25,0.15,150.0,30,4.0,5,1000000000.0,0.27566666666666667,5.090689238210399
growth,25,0.15,150.0,45,0.5,1,1000000000.0,0.0,
growth,25,0.15,150.0,45,0.5,2,1000000000.0,0.003,48.888888888888886
growth,25,0.15,150.0,45,0.5,3,1000000000.0,0.013,41.17948717948718
growth,25,0.15,150.0,45,0.5,5,1000000000.0,0.023333333333333334,36.114285714285714
growth,25,0.15,150.0,45,1.0,1,1000000000.0,0.013666666666666667,46.829268292682926
growth,25,0.15,150.0,45,1.0,2,1000000000.0,0.062,41.215053763440864
growth,25,0.15,150.0,45,1.0,3,1000000000.0,0.105,34.65714285714286
growth,25,0.15,150.0,45,1.0,5,1000000000.0,0.123,25.577235772357724
growth,25,0.15,150.0,45,1.5,1,1000000000.0,0.05,41.77333333333333
growth,25,0.15,150.0,45,1.5,2,1000000000.0,0.134,33.65422885572139
growth,25,0.15,150.0,45,1.5,3,1000000000.0,0.17066666666666666,28.00390625
growth,25,0.15,150.0,45,1.5,5,1000000000.0,0.16233333333333333,18.141683778234086
growth,25,0.15,150.0,45,2.0,1,1000000000.0,0.08266666666666667,38.41532258064516
growth,25,0.15,150.0,45,2.0,2,1000000000.0,0.19066666666666668,30.424825174825173
growth,25,0.15,150.0,45,2.0,3,1000000000.0,0.222,23.504504504504503
growth,25,0.15,150.0,45,2.0,5,1000000000.0,0.21033333333333334,15.496038034865293
growth,25,0.15,150.0,45,3.0,1,1000000000.0,0.16266666666666665,32.631147540983605
growth,25,0.15,150.0,45,3.0,2,1000000000.0,0.248,23.58467741935484
growth,25,0.15,150.0,45,3.0,3,1000000000.0,0.23833333333333334,16.937062937062937
growth,25,0.15,150.0,45,3.0,5,1000000000.0,0.23633333333333334,11.0098730606488
growth,25,0.15,150.0,45,4.0,1,1000000000.0,0.24033333333333334,27.990291262135923
growth,25,0.15,150.0,45,4.0,2,1000000000.0,0.2723333333333333,17.63157894736842
growth,25,0.15,150.0,45,4.0,3,1000000000.0,0.2763333333333333,13.03015681544029
growth,25,0.15,150.0,45,4.0,5,1000000000.0,0.25533333333333336,9.449086161879896
growth,25,0.15,150.0,60,0.5,1,1000000000.0,0.007333333333333333,49.04545454545455
growth,25,0.15,150.0,60,0.5,2,1000000000.0,0.037333333333333336,41.67857142857143
growth,25,0.15,150.0,60,0.5,3,1000000000.0,0.07,38.10952380952381
growth,25,0.15,150.0,60,0.5,5,1000000000.0,0.083,29.240963855421686
growth,25,0.15,150.0,60,1.0,1,1000000000.0,0.07366666666666667,41.04977375565611
growth,25,0.15,150.0,60,1.0,2,1000000000.0,0.15433333333333332,31.898488120950326
growth,25,0.15,150.0,60,1.0,3,1000000000.0,0.158,24.449367088607595
growth,25,0.15,150.0,60,1.0,5,1000000000.0,0.17066666666666666,16.373046875
growth,25,0.15,150.0,60,1.5,1,1000000000.0,0.143,35.55477855477856
growth,25,0.15,150.0,60,1.5,2,1000000000.0,0.212,25.44811320754717
growth,25,0.15,150.0,60,1.5,3,1000000000.0,0.224,18.172619047619047
growth,25,0.15,150.0,60,1.5,5,1000000000.0,0.24033333333333334,12.540915395284328
growth,25,0.15,150.0,60,2.0,1,1000000000.0,0.21666666666666667,30.726153846153846
growth,25,0.15,150.0,60,2.0,2,1000000000.0,0.24733333333333332,20.447439353099732
growth,25,0.15,150.0,60,2.0,3,1000000000.0,0.244,14.519125683060109
growth,25,0.15,150.0,60,2.0,5,1000000000.0,0.248,10.528225806451612
growth,25,0.15,150.0,60,3.0,1,1000000000.0,0.298,24.257270693512304
growth,25,0.15,150.0,60,3.0,2,1000000000.0,0.29633333333333334,14.393700787401574
growth,25,0.15,150.0,60,3.0,3,1000000000.0,0.274,10.326034063260341
growth,25,0.15,150.0,60,3.0,5,1000000000.0,0.2683333333333333,8.414906832298136
growth,25,0.15,150.0,60,4.0,1,1000000000.0,0.30366666666666664,20.559824368825467
growth,25,0.15,150.0,60,4.0,2,1000000000.0,0.30033333333333334,11.709211986681465
growth,25,0.15,150.0,60,4.0,3,1000000000.0,0.284,9.059859154929578
growth,25,0.15,150.0,60,4.0,5,1000000000.0,0.2836666666666667,7.568742655699177
growth,25,0.25,250.0,10,0.5,1,1000000000.0,0.0,
growth,25,0.25,250.0,10,0.5,2,1000000000.0,0.0,
growth,25,0.25,250.0,10,0.5,3,1000000000.0,0.0,
growth,25,0.25,250.0,10,0.5,5,1000000000.0,0.0,
growth,25,0.25,250.0,10,1.0,1,1000000000.0,0.001,19.333333333333332
growth,25,0.25,250.0,10,1.0,2,1000000000.0,0.001,9.0
growth,25,0.25,250.0,10,1.0,3,1000000000.0,0.002,5.666666666666667
growth,25,0.25,250.0,10,1.0,5,1000000000.0,0.0013333333333333333,5.0
growth,25,0.25,250.0,10,1.5,1,1000000000.0,0.02666666666666667,17.65
growth,25,0.25,250.0,10,1.5,2,1000000000.0,0.023666666666666666,9.67605633802817
growth,25,0.25,250.0,10,1.5,3,1000000000.0,0.025333333333333333,6.881578947368421
growth,25,0.25,250.0,10,1.5,5,1000000000.0,0.03,4.7555555555555555
growth,25,0.25,250.0,10,2.0,1,1000000000.0,0.08333333333333333,12.796
growth,25,0.25,250.0,10,2.0,2,1000000000.0,0.08433333333333333,7.387351778656127
growth,25,0.25,250.0,10,2.0,3,1000000000.0,0.079,6.046413502109704
growth,25,0.25,250.0,10,2.0,5,1000000000.0,0.07566666666666666,4.1982378854625555
growth,25,0.25,250.0,10,3.0,1,1000000000.0,0.19866666666666666,9.437919463087248
growth,25,0.25,250.0,10,3.0,2,1000000000.0,0.18933333333333333,5.568661971830986
growth,25,0.25,250.0,10,3.0,3,1000000000.0,0.17133333333333334,4.538910505836576
growth,25,0.25,250.0,10,3.0,5,1000000000.0,0.15866666666666668,3.161764705882353
growth,25,0.25,250.0,10,4.0,1,1000000000.0,0.2633333333333333,7.248101265822785
growth,25,0.25,250.0,10,4.0,2,1000000000.0,0.23933333333333334,4.0264623955431755
growth,25,0.25,250.0,10,4.0,3,1000000000.0,0.20666666666666667,3.7661290322580645
growth,25,0.25,250.0,10,4.0,5,1000000000.0,0.19533333333333333,2.75938566552901
growth,25,0.25,250.0,15,0.5,1,1000000000.0,0.0,
growth,25,0.25,250.0,15,0.5,2,1000000000.0,0.0,
growth,25,0.25,250.0,15,0.5,3,1000000000.0,0.0,
growth,25,0.25,250.0,15,0.5,5,1000000000.0,0.0,
growth,25,0.25,250.0,15,1.0,1,1000000000.0,0.016666666666666666,21.88
growth,25,0.25,250.0,15,1.0,2,1000000000.0,0.021333333333333333,12.625
growth,25,0.25,250.0,15,1.0,3,1000000000.0,0.019666666666666666,8.169491525423728
growth,25,0.25,250.0,15,1.0,5,1000000000.0,0.021666666666666667,5.1692307692307695
growth,25,0.25,250.0,15,1.5,1,1000000000.0,0.08633333333333333,16.667953667953668
growth,25,0.25,250.0,15,1.5,2,1000000000.0,0.09566666666666666,9.571428571428571
growth,25,0.25,250.0,15,1.5,3,1000000000.0,0.09233333333333334,6.891696750902527
growth,25,0.25,250.0,15,1.5,5,1000000000.0,0.08933333333333333,4.615671641791045
growth,25,0.25,250.0,15,2.0,1,1000000000.0,0.161,12.380952380952381
growth,25,0.25,250.0,15,2.0,2,1000000000.0,0.16033333333333333,6.941787941787942
growth,25,0.25,250.0,15,2.0,3,1000000000.0,0.15266666666666667,5.46943231441048
growth,25,0.25,250.0,15,2.0,5,1000000000.0,0.147,3.879818594104308
growth,25,0.25,250.0,15,3.0,1,1000000000.0,0.238,8.394957983193278
growth,25,0.25,250.0,15,3.0,2,1000000000.0,0.24033333333333334,4.780859916782247
growth,25,0.25,250.0,15,3.0,3,1000000000.0,0.223,4.041853512705531
growth,25,0.25,250.0,15,3.0,5,1000000000.0,0.212,3.0361635220125787
growth,25,0.25,250.0,15,4.0,1,1000000000.0,0.2783333333333333,6.240718562874251
growth,25,0.25,250.0,15,4.0,2,1000000000.0,0.2663333333333333,3.8523153942428037
growth,25,0.25,250.0,15,4.0,3,1000000000.0,0.255,3.4562091503267975
growth,25,0.25,250.0,15,4.0,5,1000000000.0,0.25066666666666665,2.5731382978723403
growth,25,0.25,250.0,20,0.5,1,1000000000.0,0.0006666666666666666,23.0
growth,25,0.25,250.0,20,0.5,2,1000000000.0,0.0006666666666666666,15.0
growth,25,0.25,250.0,20,0.5,3,1000000000.0,0.0013333333333333333,10.25
growth,25,0.25,250.0,20,0.5,5,1000000000.0,0.0026666666666666666,9.25
growth,25,0.25,250.0,20,1.0,1,1000000000.0,0.051,25.30065359477124
growth,25,0.25,250.0,20,1.0,2,1000000000.0,0.066,14.429292929292929
growth,25,0.25,250.0,20,1.0,3,1000000000.0,0.073,10.479452054794521
growth,25,0.25,250.0,20,1.0,5,1000000000.0,0.07133333333333333,6.714953271028038
growth,25,0.25,250.0,20,1.5,1,1000000000.0,0.146,18.328767123287673
growth,25,0.25,250.0,20,1.5,2,1000000000.0,0.16233333333333333,10.186858316221766
growth,25,0.25,250.0,20,1.5,3,1000000000.0,0.15333333333333332,7.397826086956521
growth,25,0.25,250.0,20,1.5,5,1000000000.0,0.163,5.177914110429448
growth,25,0.25,250.0,20,2.0,1,1000000000.0,0.18133333333333335,13.711397058823529
growth,25,0.25,250.0,20,2.0,2,1000000000.0,0.20066666666666666,7.674418604651163
growth,25,0.25,250.0,20,2.0,3,1000000000.0,0.19533333333333333,5.527303754266212
growth,25,0.25,250.0,20,2.0,5,1000000000.0,0.19866666666666666,4.0855704697986575
growth,25,0.25,250.0,20,3.0,1,1000000000.0,0.249,9.317269076305221
growth,25,0.25,250.0,20,3.0,2,1000000000.0,0.257,5.298313878080415
growth,25,0.25,250.0,20,3.0,3,1000000000.0,0.248,3.939516129032258
growth,25,0.25,250.0,20,3.0,5,1000000000.0,0.25066666666666665,2.9747340425531914
growth,25,0.25,250.0,20,4.0,1,1000000000.0,0.284,6.834507042253521
growth,25,0.25,250.0,20,4.0,2,1000000000.0,0.3,3.8133333333333335
growth,25,0.25,250.0,20,4.0,3,1000000000.0,0.2803333333333333,3.1664684898929845
growth,25,0.25,250.0,20,4.0,5,1000000000.0,0.30133333333333334,2.4269911504424777
growth,25,0.25,250.0,30,0.5,1,1000000000.0,0.005,43.8
growth,25,0.25,250.0,30,0.5,2,1000000000.0,0.013666666666666667,26.024390243902438
growth,25,0.25,250.0,30,0.5,3,1000000000.0,0.018666666666666668,19.607142857142858
growth,25,0.25,250.0,30,0.5,5,1000000000.0,0.030333333333333334,13.747252747252746
growth,25,0.25,250.0,30,1.0,1,1000000000.0,0.108,29.44753086419753
growth,25,0.25,250.0,30,1.0,2,1000000000.0,0.133,17.030075187969924
growth,25,0.25,250.0,30,1.0,3,1000000000.0,0.14866666666666667,12.699551569506726
growth,25,0.25,250.0,30,1.0,5,1000000000.0,0.14933333333333335,8.34375
growth,25,0.25,250.0,30,1.5,1,1000000000.0,0.16033333333333333,21.968814968814968
growth,25,0.25,250.0,30,1.5,2,1000000000.0,0.18833333333333332,12.509734513274337
growth,25,0.25,250.0,30,1.5,3,1000000000.0,0.191,8.525305410122163
growth,25,0.25,250.0,30,1.5,5,1000000000.0,0.208,5.86698717948718
growth,25,0.25,250.0,30,2.0,1,1000000000.0,0.19033333333333333,16.106830122591944
growth,25,0.25,250.0,30,2.0,2,1000000000.0,0.215,9.513178294573644
growth,25,0.25,250.0,30,2.0,3,1000000000.0,0.23066666666666666,6.670520231213873
growth,25,0.25,250.0,30,2.0,5,1000000000.0,0.239,4.651324965132496
growth,25,0.25,250.0,30,3.0,1,1000000000.0,0.22533333333333333,10.95266272189349
growth,25,0.25,250.0,30,3.0,2,1000000000.0,0.24766666666666667,6.26514131897712
growth,25,0.25,250.0,30,3.0,3,1000000000.0,0.2613333333333333,4.383928571428571
growth,25,0.25,250.0,30,3.0,5,1000000000.0,0.2806666666666667,3.315914489311164
growth,25,0.25,250.0,30,4.0,1,1000000000.0,0.2623333333333333,8.40279542566709
growth,25,0.25,250.0,30,4.0,2,1000000000.0,0.2813333333333333,4.984597156398104
growth,25,0.25,250.0,30,4.0,3,1000000000.0,0.28833333333333333,3.606936416184971
growth,25,0.25,250.0,30,4.0,5,1000000000.0,0.303,2.7271727172717273
growth,25,0.25,250.0,45,0.5,1,1000000000.0,0.05533333333333333,43.126506024096386
growth,25,0.25,250.0,45,0.5,2,1000000000.0,0.08933333333333333,31.208955223880597
growth,25,0.25,250.0,45,0.5,3,1000000000.0,0.10266666666666667,24.334415584415584
growth,25,0.25,250.0,45,0.5,5,1000000000.0,0.11066666666666666,15.159638554216867
growth,25,0.25,250.0,45,1.0,1,1000000000.0,0.15,29.324444444444445
growth,25,0.25,250.0,45,1.0,2,1000000000.0,0.18933333333333333,18.197183098591548
growth,25,0.25,250.0,45,1.0,3,1000000000.0,0.18733333333333332,12.795373665480428
growth,25,0.25,250.0,45,1.0,5,1000000000.0,0.19966666666666666,8.340567612687813
growth,25,0.25,250.0,45,1.5,1,1000000000.0,0.184,21.277173913043477
growth,25,0.25,250.0,45,1.5,2,1000000000.0,0.216,12.101851851851851
growth,25,0.25,250.0,45,1.5,3,1000000000.0,0.21433333333333332,8.706065318818041
growth,25,0.25,250.0,45,1.5,5,1000000000.0,0.23433333333333334,5.77524893314367
growth,25,0.25,250.0,45,2.0,1,1000000000.0,0.20366666666666666,16.527004909983635
growth,25,0.25,250.0,45,2.0,2,1000000000.0,0.23733333333333334,8.827247191011235
growth,25,0.25,250.0,45,2.0,3,1000000000.0,0.25766666666666665,6.639068564036222
growth,25,0.25,250.0,45,2.0,5,1000000000.0,0.26466666666666666,4.620906801007557
growth,25,0.25,250.0,45,3.0,1,1000000000.0,0.25133333333333335,11.107427055702917
growth,25,0.25,250.0,45,3.0,2,1000000000.0,0.277,6.348977135980746
growth,25,0.25,250.0,45,3.0,3,1000000000.0,0.27166666666666667,4.787730061349693
growth,25,0.25,250.0,45,3.0,5,1000000000.0,0.29633333333333334,3.7885264341957257
growth,25,0.25,250.0,45,4.0,1,1000000000.0,0.30133333333333334,8.564159292035399
growth,25,0.25,250.0,45,4.0,2,1000000000.0,0.2936666666666667,4.9296254256526675
growth,25,0.25,250.0,45,4.0,3,1000000000.0,0.301,3.8172757475083055
growth,25,0.25,250.0,45,4.0,5,1000000000.0,0.32266666666666666,3.227272727272727
growth,25,0.25,250.0,60,0.5,1,1000000000.0,0.135,32.2320987654321
growth,25,0.25,250.0,60,0.5,2,1000000000.0,0.168,20.805555555555557
growth,25,0.25,250.0,60,0.5,3,1000000000.0,0.17266666666666666,14.783783783783784
growth,25,0.25,250.0,60,0.5,5,1000000000.0,0.17566666666666667,9.504743833017077
growth,25,0.25,250.0,60,1.0,1,1000000000.0,0.20966666666666667,19.16852146263911
growth,25,0.25,250.0,60,1.0,2,1000000000.0,0.23,10.92608695652174
growth,25,0.25,250.0,60,1.0,3,1000000000.0,0.22733333333333333,7.626099706744868
growth,25,0.25,250.0,60,1.0,5,1000000000.0,0.24833333333333332,5.382550335570469
growth,25,0.25,250.0,60,1.5,1,1000000000.0,0.25166666666666665,13.447682119205298
growth,25,0.25,250.0,60,1.5,2,1000000000.0,0.2663333333333333,7.642052565707134
growth,25,0.25,250.0,60,1.5,3,1000000000.0,0.27166666666666667,5.796319018404908
growth,25,0.25,250.0,60,1.5,5,1000000000.0,0.2806666666666667,4.182897862232779
growth,25,0.25,250.0,60,2.0,1,1000000000.0,0.2713333333333333,10.041769041769042
growth,25,0.25,250.0,60,2.0,2,1000000000.0,0.2786666666666667,5.837320574162679
growth,25,0.25,250.0,60,2.0,3,1000000000.0,0.296,4.783783783783784
growth,25,0.25,250.0,60,2.0,5,1000000000.0,0.29033333333333333,3.539609644087256
growth,25,0.25,250.0,60,3.0,1,1000000000.0,0.335,7.189054726368159
growth,25,0.25,250.0,60,3.0,2,1000000000.0,0.3233333333333333,4.3907216494845365
growth,25,0.25,250.0,60,3.0,3,1000000000.0,0.3433333333333333,3.6398058252427186
growth,25,0.25,250.0,60,3.0,5,1000000000.0,0.34933333333333333,3.1364503816793894
growth,25,0.25,250.0,60,4.0,1,1000000000.0,0.3323333333333333,5.586760280842528
growth,25,0.25,250.0,60,4.0,2,1000000000.0,0.3373333333333333,3.6343873517786562
growth,25,0.25,250.0,60,4.0,3,1000000000.0,0.3416666666666667,3.2175609756097563
growth,25,0.25,250.0,60,4.0,5,1000000000.0,0.3566666666666667,2.9850467289719624
growth,25,0.4,400.0,10,0.5,1,1000000000.0,0.0,
growth,25,0.4,400.0,10,0.5,2,1000000000.0,0.0,
growth,25,0.4,400.0,10,0.5,3,1000000000.0,0.0,
growth,25,0.4,400.0,10,0.5,5,1000000000.0,0.0,
growth,25,0.4,400.0,10,1.0,1,1000000000.0,0.001,19.333333333333332
growth,25,0.4,400.0,10,1.0,2,1000000000.0,0.001,9.0
growth,25,0.4,400.0,10,1.0,3,1000000000.0,0.002,5.666666666666667
growth,25,0.4,400.0,10,1.0,5,1000000000.0,0.0013333333333333333,5.0
growth,25,0.4,400.0,10,1.5,1,1000000000.0,0.02666666666666667,17.65
growth,25,0.4,400.0,10,1.5,2,1000000000.0,0.023666666666666666,9.67605633802817
growth,25,0.4,400.0,10,1.5,3,1000000000.0,0.025333333333333333,6.881578947368421
growth,25,0.4,400.0,10,1.5,5,1000000000.0,0.03,4.7555555555555555
growth,25,0.4,400.0,10,2.0,1,1000000000.0,0.08333333333333333,12.796
growth,25,0.4,400.0,10,2.0,2,1000000000.0,0.08433333333333333,7.387351778656127
growth,25,0.4,400.0,10,2.0,3,1000000000.0,0.079,6.046413502109704
growth,25,0.4,400.0,10,2.0,5,1000000000.0,0.07566666666666666,4.1982378854625555
growth,25,0.4,400.0,10,3.0,1,1000000000.0,0.19866666666666666,9.437919463087248
growth,25,0.4,400.0,10,3.0,2,1000000000.0,0.18933333333333333,5.568661971830986
growth,25,0.4,400.0,10,3.0,3,1000000000.0,0.17133333333333334,4.538910505836576
growth,25,0.4,400.0,10,3.0,5,1000000000.0,0.15866666666666668,3.161764705882353
growth,25,0.4,400.0,10,4.0,1,1000000000.0,0.2633333333333333,7.248101265822785
growth,25,0.4,400.0,10,4.0,2,1000000000.0,0.23933333333333334,4.0264623955431755
growth,25,0.4,400.0,10,4.0,3,1000000000.0,0.20666666666666667,3.7661290322580645
growth,25,0.4,400.0,10,4.0,5,1000000000.0,0.19533333333333333,2.75938566552901
growth,25,0.4,400.0,15,0.5,1,1000000000.0,0.0006666666666666666,23.0
growth,25,0.4,400.0,15,0.5,2,1000000000.0,0.0013333333333333333,16.25
growth,25,0.4,400.0,15,0.5,3,1000000000.0,0.0023333333333333335,7.428571428571429
growth,25,0.4,400.0,15,0.5,5,1000000000.0,0.0026666666666666666,4.25
growth,25,0.4,400.0,15,1.0,1,1000000000.0,0.05466666666666667,12.439024390243903
growth,25,0.4,400.0,15,1.0,2,1000000000.0,0.074,6.846846846846847
growth,25,0.4,400.0,15,1.0,3,1000000000.0,0.063,5.5661375661375665
growth,25,0.4,400.0,15,1.0,5,1000000000.0,0.06666666666666667,3.755
growth,25,0.4,400.0,15,1.5,1,1000000000.0,0.15266666666666667,9.06113537117904
growth,25,0.4,400.0,15,1.5,2,1000000000.0,0.16433333333333333,5.8154158215010145
growth,25,0.4,400.0,15,1.5,3,1000000000.0,0.14233333333333334,4.2669789227166275
growth,25,0.4,400.0,15,1.5,5,1000000000.0,0.15066666666666667,3.1261061946902653
growth,25,0.4,400.0,15,2.0,1,1000000000.0,0.22166666666666668,7.203007518796992
growth,25,0.4,400.0,15,2.0,2,1000000000.0,0.214,4.5327102803738315
growth,25,0.4,400.0,15,2.0,3,1000000000.0,0.221,3.3227752639517347
growth,25,0.4,400.0,15,2.0,5,1000000000.0,0.20633333333333334,2.6591276252019385
